lossy_count memory usage (k=1000)
\begin{tabular}{lllrrr}
\hline
 Word                & isNewWord   & Word Count   &   Delta &   Memory Usage &   \#Buckets \\
 sampson             & False       & 9            &       0 &          21864 &        204 \\
 ’tis                & True        & 1            &       0 &          21952 &        205 \\
 one                 & True        & 1            &       0 &          22008 &        206 \\
 show                & True        & 1            &       0 &          22064 &        207 \\
 tyrant              & True        & 1            &       0 &          22120 &        208 \\
 fought              & True        & 1            &       0 &          22176 &        209 \\
 men                 & False       & 4            &       0 &          22176 &        209 \\
 civil               & False       & 3            &       0 &          22176 &        209 \\
 maids               & False       & 2            &       0 &          22176 &        209 \\
 cut                 & True        & 1            &       0 &          22232 &        210 \\
 heads               & True        & 1            &       0 &          22288 &        211 \\
 gregory             & False       & 10           &       0 &          22288 &        211 \\
 heads               & False       & 2            &       0 &          22288 &        211 \\
 maids               & False       & 3            &       0 &          22288 &        211 \\
 sampson             & False       & 10           &       0 &          22256 &        211 \\
 ay                  & False       & 2            &       0 &          22256 &        211 \\
 heads               & False       & 3            &       0 &          22256 &        211 \\
 maids               & False       & 4            &       0 &          22256 &        211 \\
 maidenheads         & True        & 1            &       0 &          22320 &        212 \\
 take                & False       & 3            &       0 &          22320 &        212 \\
 sense               & True        & 1            &       0 &          22376 &        213 \\
 thou                & False       & 4            &       0 &          22376 &        213 \\
 wilt                & True        & 1            &       0 &          22432 &        214 \\
 gregory             & False       & 11           &       0 &          22464 &        214 \\
 must                & True        & 1            &       0 &          22520 &        215 \\
 take                & False       & 4            &       0 &          22520 &        215 \\
 sense               & False       & 2            &       0 &          22520 &        215 \\
 feel                & True        & 1            &       0 &          22576 &        216 \\
 sampson             & False       & 11           &       0 &          22576 &        216 \\
 shall               & False       & 4            &       0 &          22576 &        216 \\
 feel                & False       & 2            &       0 &          22576 &        216 \\
 able                & True        & 1            &       0 &          22632 &        217 \\
 stand               & False       & 3            &       0 &          22632 &        217 \\
 ’tis                & False       & 2            &       0 &          22632 &        217 \\
 known               & True        & 1            &       0 &          22688 &        218 \\
 pretty              & True        & 1            &       0 &          22744 &        219 \\
 piece               & True        & 1            &       0 &          22800 &        220 \\
 flesh               & True        & 1            &       0 &          22856 &        221 \\
 gregory             & False       & 12           &       0 &          22888 &        221 \\
 ’tis                & False       & 3            &       0 &          22888 &        221 \\
 well                & True        & 1            &       0 &          22944 &        222 \\
 thou                & False       & 5            &       0 &          22944 &        222 \\
 art                 & False       & 3            &       0 &          22944 &        222 \\
 fish                & True        & 1            &       0 &          23000 &        223 \\
 thou                & False       & 6            &       0 &          23000 &        223 \\
 hadst               & True        & 1            &       0 &          23056 &        224 \\
 thou                & False       & 7            &       0 &          23056 &        224 \\
 hadst               & False       & 2            &       0 &          23056 &        224 \\
 poor                & True        & 1            &       0 &          23112 &        225 \\
 john                & False       & 2            &       0 &          23112 &        225 \\
 draw                & False       & 3            &       0 &          23112 &        225 \\
 thy                 & True        & 1            &       0 &          23168 &        226 \\
 tool                & True        & 1            &       0 &          23224 &        227 \\
 comes               & True        & 1            &       0 &          23280 &        228 \\
 house               & False       & 9            &       0 &          23280 &        228 \\
 montagues           & False       & 2            &       0 &          23280 &        228 \\
 enter               & False       & 3            &       0 &          23280 &        228 \\
 abram               & False       & 2            &       0 &          23280 &        228 \\
 balthasar           & False       & 2            &       0 &          23280 &        228 \\
 sampson             & False       & 12           &       0 &          23248 &        228 \\
 naked               & True        & 1            &       0 &          23304 &        229 \\
 weapon              & True        & 1            &       0 &          23360 &        230 \\
 quarrel             & False       & 2            &       0 &          23360 &        230 \\
 back                & True        & 1            &       0 &          23416 &        231 \\
 thee                & False       & 2            &       0 &          23416 &        231 \\
 gregory             & False       & 13           &       0 &          23448 &        231 \\
 turn                & True        & 1            &       0 &          23504 &        232 \\
 thy                 & False       & 2            &       0 &          23504 &        232 \\
 back                & False       & 2            &       0 &          23504 &        232 \\
 run                 & True        & 1            &       0 &          23560 &        233 \\
 sampson             & False       & 13           &       0 &          23528 &        233 \\
 fear                & True        & 1            &       0 &          23584 &        234 \\
 gregory             & False       & 14           &       0 &          23616 &        234 \\
 marry               & True        & 1            &       0 &          23672 &        235 \\
 fear                & False       & 2            &       0 &          23672 &        235 \\
 thee                & False       & 3            &       0 &          23672 &        235 \\
 sampson             & False       & 14           &       0 &          23640 &        235 \\
 let                 & True        & 1            &       0 &          23696 &        236 \\
 us                  & False       & 2            &       0 &          23696 &        236 \\
 take                & False       & 5            &       0 &          23696 &        236 \\
 law                 & True        & 1            &       0 &          23752 &        237 \\
 sides               & True        & 1            &       0 &          23808 &        238 \\
 let                 & False       & 2            &       0 &          23808 &        238 \\
 begin               & True        & 1            &       0 &          23864 &        239 \\
