fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
 tochter                  & 0                    &           3472 & 36                 \\
 wärterin                 & 0                    &           3472 & 36                 \\
 früher                   & 1                    &           3552 & 37                 \\
 juliens                  & 0                    &           3552 & 37                 \\
 amme                     & 1                    &           3552 & 37                 \\
 bürger                   & 0                    &           3552 & 37                 \\
 verona                   & 1                    &           3552 & 37                 \\
 verschiedene             & 1                    &           3616 & 38                 \\
 männer                   & 0                    &           3616 & 38                 \\
 frauen                   & 1                    &           3672 & 39                 \\
 verwandte                & 1                    &           3736 & 40                 \\
 beider                   & 0                    &           3736 & 40                 \\
 häuser                   & 0                    &           3736 & 40                 \\
 masken                   & 1                    &           3792 & 41                 \\
 garde                    & 0                    &           3792 & 41                 \\
 wächter                  & 0                    &           3792 & 41                 \\
 gefolge                  & 0                    &           3792 & 41                 \\
 szene                    & 0                    &           3792 & 41                 \\
 größten                  & 1                    &           3872 & 42                 \\
 teil                     & 1                    &           5024 & 43                 \\
 stücks                   & 0                    &           5024 & 43                 \\
 hindurch                 & 0                    &           5024 & 43                 \\
 verona                   & 1                    &           5024 & 43                 \\
 anfange                  & 0                    &           5024 & 43                 \\
 fünften                  & 0                    &           5024 & 43                 \\
 aktes                    & 1                    &           5080 & 44                 \\
 mantua                   & 0                    &           5080 & 44                 \\
 prolog                   & 1                    &           5136 & 45                 \\
 chorus                   & 1                    &           5192 & 46                 \\
 tritt                    & 1                    &           5248 & 47                 \\
 chorus                   & 1                    &           5248 & 47                 \\
 zwei                     & 1                    &           5304 & 48                 \\
 häuser                   & 1                    &           5384 & 49                 \\
 warengleich              & 1                    &           5448 & 50                 \\
 würdigkeit               & 0                    &           5448 & 50                 \\
 verona                   & 1                    &           5448 & 50                 \\
 handlung                 & 1                    &           5512 & 51                 \\
 steckt                   & 0                    &           5512 & 51                 \\
 alten                    & 0                    &           5512 & 51                 \\
 groll                    & 0                    &           5512 & 51                 \\
 neuem                    & 1                    &           5568 & 52                 \\
 kampf                    & 0                    &           5568 & 52                 \\
 bereit                   & 1                    &           5624 & 53                 \\
 bürgerblut               & 1                    &           5712 & 54                 \\
 bürgerhand               & 1                    &           5800 & 55                 \\
 befleckt                 & 1                    &           5864 & 56                 \\
 feinde                   & 0                    &           5864 & 56                 \\
 unheilvollem             & 0                    &           5864 & 56                 \\
 schoß                    & 0                    &           5864 & 56                 \\
 leben                    & 0                    &           5864 & 56                 \\
 zweier                   & 0                    &           5864 & 56                 \\
 liebender                & 0                    &           5864 & 56                 \\
 entsprang                & 0                    &           5864 & 56                 \\
 unglückselges            & 1                    &           5952 & 57                 \\
 ende                     & 0                    &           5952 & 57                 \\
 bloß                     & 0                    &           5952 & 57                 \\
 tod                      & 1                    &           6008 & 58                 \\
 begraben                 & 0                    &           6008 & 58                 \\
 elterlichen              & 0                    &           6008 & 58                 \\
 zank                     & 1                    &           6064 & 59                 \\
 hergang                  & 1                    &           6120 & 60                 \\
 todgeweihten             & 1                    &           6184 & 61                 \\
 lieb                     & 0                    &           6184 & 61                 \\
 verlauf                  & 0                    &           6184 & 61                 \\
 elterlichen              & 1                    &           6248 & 62                 \\
 wut                      & 0                    &           6248 & 62                 \\
 kinder                   & 1                    &           6304 & 63                 \\
 tod                      & 1                    &           6304 & 63                 \\
 dannen                   & 0                    &           6304 & 63                 \\
 trieb                    & 1                    &           6360 & 64                 \\
 zwei                     & 2                    &           6360 & 64                 \\
 stunden                  & 0                    &           6360 & 64                 \\
 lang                     & 0                    &           6360 & 64                 \\
 bühne                    & 0                    &           6360 & 64                 \\
 gut                      & 1                    &           6416 & 65                 \\
 dran                     & 0                    &           6416 & 65                 \\
 fehlt                    & 1                    &           6472 & 66                 \\
 hört                     & 0                    &           6472 & 66                 \\
 geduldgem                & 1                    &           6536 & 67                 \\
 ohr                      & 1                    &           6592 & 68                 \\
 bringt                   & 1                    &           6648 & 69                 \\
 hoffentlich              & 1                    &           6712 & 70                 \\
 unsre                    & 1                    &           6768 & 71                 \\
 müh                      & 1                    &           6848 & 72                 \\
 hervor                   & 1                    &           6904 & 73                 \\
 erster                   & 0                    &           6904 & 73                 \\
 akt                      & 1                    &           6960 & 74                 \\
 erste                    & 1                    &           7016 & 75                 \\
 szene                    & 1                    &           7072 & 76                 \\
 öffentlicher             & 1                    &           7160 & 77                 \\
 platz                    & 0                    &           7160 & 77                 \\
 simson                   & 2                    &           7160 & 77                 \\
 gregorio                 & 0                    &           7160 & 77                 \\
 zwei                     & 2                    &           7160 & 77                 \\
 bediente                 & 0                    &           7160 & 77                 \\
 capulets                 & 2                    &           7160 & 77                 \\
 treten                   & 0                    &           7160 & 77                 \\
 bewaffnet                & 0                    &           7160 & 77                 \\
 schwertern               & 1                    &           7224 & 78                 \\
 schilden                 & 0                    &           7224 & 78                 \\
 simson                   & 2                    &           7224 & 78                 \\
 wort                     & 1                    &           7280 & 79                 \\
 gregorio                 & 1                    &           7344 & 80                 \\
 tasche                   & 0                    &           7344 & 80                 \\
 stecken                  & 0                    &           7344 & 80                 \\
 gregorio                 & 2                    &           7344 & 80                 \\
 freilich                 & 0                    &           7344 & 80                 \\
 wären                    & 1                    &           7424 & 81                 \\
 taschenspieler           & 1                    &           7488 & 82                 \\
 simson                   & 2                    &           7488 & 82                 \\
 koller                   & 1                    &           7544 & 83                 \\
 kriegen                  & 0                    &           7544 & 83                 \\
 leder                    & 0                    &           7544 & 83                 \\
 ziehn                    & 1                    &           7600 & 84                 \\
 gregorio                 & 3                    &           7600 & 84                 \\
 ne                       & 1                    &           7656 & 85                 \\
 freund                   & 1                    &           7656 & 85                 \\
 ledernen                 & 0                    &           7656 & 85                 \\
 koller                   & 2                    &           7656 & 85                 \\
 mußt                     & 0                    &           7656 & 85                 \\
 leibe                    & 0                    &           7656 & 85                 \\
 ausziehen                & 0                    &           7656 & 85                 \\
 simson                   & 2                    &           7656 & 85                 \\
 schlage                  & 0                    &           7656 & 85                 \\
 geschwind                & 1                    &          10144 & 86                 \\
 aufgebracht              & 0                    &          10144 & 86                 \\
 gregorio                 & 3                    &          10144 & 86                 \\
 geschwind                & 2                    &          10144 & 86                 \\
 aufgebracht              & 1                    &          10208 & 87                 \\
 simson                   & 3                    &          10208 & 87                 \\
 hund                     & 1                    &          10264 & 88                 \\
 montagues                & 1                    &          10264 & 88                 \\
 hause                    & 2                    &          10264 & 88                 \\
 bringt                   & 2                    &          10264 & 88                 \\
 schon                    & 1                    &          10320 & 89                 \\
 gregorio                 & 4                    &          10352 & 89                 \\
 aufbringen               & 1                    &          10416 & 90                 \\
 heißt                    & 1                    &          10496 & 91                 \\
 stelle                   & 0                    &          10496 & 91                 \\
 schaffen                 & 0                    &          10496 & 91                 \\
 tapfer                   & 0                    &          10496 & 91                 \\
 muß                      & 1                    &          10576 & 92                 \\
 standhalten              & 1                    &          10640 & 93                 \\
 aufbringen               & 1                    &          10640 & 93                 \\
 läßt                     & 0                    &          10640 & 93                 \\
 läufst                   & 0                    &          10640 & 93                 \\
 davon                    & 0                    &          10640 & 93                 \\
 simson                   & 4                    &          10640 & 93                 \\
 hund                     & 1                    &          10640 & 93                 \\
 hause                    & 3                    &          10640 & 93                 \\
 bringt                   & 2                    &          10640 & 93                 \\
 standhalten              & 1                    &          10640 & 93                 \\
 bedienten                & 1                    &          10704 & 94                 \\
 mädchen                  & 0                    &          10704 & 94                 \\
 montagues                & 2                    &          10704 & 94                 \\
 aufnehmen                & 1                    &          10768 & 95                 \\
 bedienten                & 2                    &          10768 & 95                 \\
 mädchen                  & 0                    &          10768 & 95                 \\
 montagues                & 3                    &          10768 & 95                 \\
 vorrang                  & 0                    &          10768 & 95                 \\
 nehme                    & 1                    &          10824 & 96                 \\
 mauerseite               & 0                    &          10824 & 96                 \\
 schmutzige               & 0                    &          10824 & 96                 \\
 straßenmitte             & 0                    &          10824 & 96                 \\
 treten                   & 0                    &          10824 & 96                 \\
 muß                      & 1                    &          10824 & 96                 \\
 gregorio                 & 4                    &          10824 & 96                 \\
 daran                    & 1                    &          10880 & 97                 \\
 sieht                    & 0                    &          10880 & 97                 \\
 schwacher                & 1                    &          10944 & 98                 \\
 sklave                   & 1                    &          11000 & 99                 \\
 schwächste               & 1                    &          11088 & 100                \\
 geht                     & 0                    &          11088 & 100                \\
 mauer                    & 1                    &          11144 & 101                \\
 simson                   & 5                    &          11176 & 101                \\
 wahr                     & 1                    &          11232 & 102                \\
 daher                    & 1                    &          11288 & 103                \\
 weiber                   & 0                    &          11288 & 103                \\
 schwächeren              & 0                    &          11288 & 103                \\
 immer                    & 1                    &          11344 & 104                \\
 mauer                    & 2                    &          11344 & 104                \\
 gedrückt                 & 0                    &          11344 & 104                \\
 folglich                 & 0                    &          11344 & 104                \\
 montagues                & 4                    &          11344 & 104                \\
 bediente                 & 0                    &          11344 & 104                \\
 mauer                    & 3                    &          11344 & 104                \\
 wegstoßen                & 0                    &          11344 & 104                \\
 mädchen                  & 1                    &          11424 & 105                \\
 mauer                    & 4                    &          11424 & 105                \\
 drücken                  & 0                    &          11424 & 105                \\
 gregorio                 & 5                    &          11424 & 105                \\
 streit                   & 0                    &          11424 & 105                \\
 herrschaften             & 0                    &          11424 & 105                \\
 bedienten                & 3                    &          11424 & 105                \\
 mädchen                  & 1                    &          11424 & 105                \\
 aufnehmen                & 1                    &          11424 & 105                \\
 pfui                     & 1                    &          11480 & 106                \\
 solltest                 & 0                    &          11480 & 106                \\
 lieber                   & 0                    &          11480 & 106                \\
 aufnehmen                & 2                    &          11480 & 106                \\
 lassen                   & 0                    &          11480 & 106                \\
 simson                   & 6                    &          11512 & 106                \\
 einerlei                 & 1                    &          11576 & 107                \\
 barbarisch               & 1                    &          11640 & 108                \\
 werke                    & 0                    &          11640 & 108                \\
 gehn                     & 0                    &          11640 & 108                \\
 ichs                     & 0                    &          11640 & 108                \\
 bedienten                & 3                    &          11640 & 108                \\
 erst                     & 0                    &          11640 & 108                \\
 ausgefochten             & 0                    &          11640 & 108                \\
 mädchen                  & 2                    &          11640 & 108                \\
 unterwerfen              & 0                    &          11640 & 108                \\
 sollen                   & 1                    &          11696 & 109                \\
 spitze                   & 0                    &          11696 & 109                \\
 degens                   & 0                    &          11696 & 109                \\
 fühlen                   & 0                    &          11696 & 109                \\
 stumpf                   & 0                    &          11696 & 109                \\
 jungfräulichen           & 0                    &          11696 & 109                \\
 häupter                  & 1                    &          11776 & 110                \\
 berauben                 & 0                    &          11776 & 110                \\
 gregorio                 & 5                    &          11776 & 110                \\
 jungfrauen               & 1                    &          11840 & 111                \\
 enthaupten               & 1                    &          11904 & 112                \\
 simson                   & 7                    &          11904 & 112                \\
 jawohl                   & 0                    &          11904 & 112                \\
 jungfrauen               & 2                    &          11904 & 112                \\
 enthaupten               & 1                    &          11904 & 112                \\
 jungfräulichkeit         & 1                    &          12000 & 113                \\
 nehmen                   & 0                    &          12000 & 113                \\
 nimm                     & 0                    &          12000 & 113                \\
 sinn                     & 0                    &          12000 & 113                \\
 ganz                     & 0                    &          12000 & 113                \\
 willt                    & 1                    &          12056 & 114                \\
 gregorio                 & 5                    &          12056 & 114                \\
 sinngemäß                & 0                    &          12056 & 114                \\
 aufnehmen                & 3                    &          12056 & 114                \\
 müssen                   & 0                    &          12056 & 114                \\
 spüren                   & 1                    &          12136 & 115                \\
 bekommen                 & 1                    &          12200 & 116                \\
 simson                   & 8                    &          12168 & 116                \\
 sollen                   & 1                    &          12168 & 116                \\
 spüren                   & 1                    &          12168 & 116                \\
 bekommen                 & 1                    &          12168 & 116                \\
 solange                  & 0                    &          12168 & 116                \\
 standhalten              & 1                    &          12168 & 116                \\
 bekannt                  & 1                    &          12224 & 117                \\
 hübsches                 & 0                    &          12224 & 117                \\
 stück                    & 0                    &          12224 & 117                \\
 fleisches                & 1                    &          12288 & 118                \\
 gregorio                 & 6                    &          12288 & 118                \\
 gut                      & 2                    &          12288 & 118                \\
 fisch                    & 1                    &          12344 & 119                \\
 wärst                    & 0                    &          12344 & 119                \\
 ärmlicher                & 0                    &          12344 & 119                \\
 dörrheringzieh           & 1                    &          12432 & 120                \\
 gleich                   & 1                    &          12488 & 121                \\
 leder                    & 1                    &          12544 & 122                \\
 kommen                   & 1                    &          12600 & 123                \\
 zwei                     & 3                    &          12600 & 123                \\
 hause                    & 4                    &          12600 & 123                \\
 montagues                & 5                    &          12632 & 123                \\
 abraham                  & 1                    &          12632 & 123                \\
 balthasar                & 0                    &          12632 & 123                \\
 treten                   & 0                    &          12632 & 123                \\
 simson                   & 9                    &          12664 & 123                \\
 waffe                    & 1                    &          12720 & 124                \\
 blank                    & 1                    &          12776 & 125                \\
 fang                     & 1                    &          12832 & 126                \\
 händel                   & 0                    &          12832 & 126                \\
 rücken                   & 1                    &          12912 & 127                \\
 decken                   & 0                    &          12912 & 127                \\
 gregorio                 & 6                    &          12912 & 127                \\
 rücken                   & 2                    &          12912 & 127                \\
 willst                   & 1                    &          12968 & 128                \\
 reißaus                  & 1                    &          13048 & 129                \\
 nehmen                   & 0                    &          13048 & 129                \\
 simson                   & 9                    &          13048 & 129                \\
 fürchte                  & 1                    &          13128 & 130                \\
 gregorio                 & 7                    &          13128 & 130                \\
 ne                       & 2                    &          13128 & 130                \\
 wahrhaftig               & 1                    &          13192 & 131                \\
 fürchten                 & 1                    &          13280 & 132                \\
 simson                   & 9                    &          13280 & 132                \\
 laß                      & 0                    &          13280 & 132                \\
 recht                    & 0                    &          13280 & 132                \\
 unsrer                   & 0                    &          13280 & 132                \\
 seite                    & 1                    &          13336 & 133                \\
 behalten                 & 1                    &          13400 & 134                \\
 laß                      & 0                    &          13400 & 134                \\
 anfangen                 & 1                    &          13464 & 135                \\
 gregorio                 & 7                    &          13464 & 135                \\
 vorbeigehn               & 0                    &          13464 & 135                \\
 gesicht                  & 0                    &          13464 & 135                \\
 ziehen                   & 0                    &          13464 & 135                \\
 mögens                   & 0                    &          13464 & 135                \\
 nehmen                   & 1                    &          13520 & 136                \\
 simson                   & 9                    &          13520 & 136                \\
 wagen                    & 0                    &          13520 & 136                \\
 lieber                   & 1                    &          13576 & 137                \\
 esel                     & 0                    &          13576 & 137                \\
 bohren                   & 1                    &          13632 & 138                \\
 einstecken               & 0                    &          13632 & 138                \\
 schimpf                  & 0                    &          13632 & 138                \\
 abraham                  & 1                    &          13632 & 138                \\
 balthasar                & 0                    &          13632 & 138                \\
 treten                   & 1                    &          13688 & 139                \\
 abraham                  & 1                    &          13688 & 139                \\
 bohrt                    & 1                    &          13744 & 140                \\
 esel                     & 0                    &          13744 & 140                \\
 herr                     & 1                    &          13800 & 141                \\
 simson                   & 9                    &          13800 & 141                \\
 bohre                    & 1                    &          13856 & 142                \\
 esel                     & 1                    &          13912 & 143                \\
 herr                     & 2                    &          13912 & 143                \\
 abraham                  & 2                    &          13912 & 143                \\
 bohrt                    & 1                    &          13912 & 143                \\
 esel                     & 2                    &          13912 & 143                \\
 herr                     & 2                    &          13912 & 143                \\
 simson                   & 10                   &          13912 & 143                \\
 recht                    & 0                    &          13912 & 143                \\
 unsrer                   & 1                    &          13968 & 144                \\
 seite                    & 2                    &          13968 & 144                \\
 ja                       & 0                    &          13968 & 144                \\
 sage                     & 0                    &          13968 & 144                \\
 gregorio                 & 7                    &          13968 & 144                \\
 nein                     & 0                    &          13968 & 144                \\
 simson                   & 10                   &          13968 & 144                \\
 nein                     & 0                    &          13968 & 144                \\
 herr                     & 3                    &          13968 & 144                \\
 bohre                    & 2                    &          13968 & 144                \\
 esel                     & 3                    &          13968 & 144                \\
 herr                     & 3                    &          13968 & 144                \\
 bohre                    & 3                    &          13968 & 144                \\
 esel                     & 3                    &          13968 & 144                \\
 herr                     & 4                    &          13968 & 144                \\
 gregorio                 & 7                    &          13968 & 144                \\
 sucht                    & 1                    &          14024 & 145                \\
 händel                   & 1                    &          14104 & 146                \\
 herr                     & 5                    &          14104 & 146                \\
 abraham                  & 3                    &          14104 & 146                \\
 händel                   & 2                    &          14104 & 146                \\
 herr                     & 5                    &          14104 & 146                \\
 nein                     & 1                    &          14160 & 147                \\
 herr                     & 6                    &          14192 & 147                \\
 simson                   & 11                   &          14192 & 147                \\
 händel                   & 3                    &          14192 & 147                \\
 sucht                    & 2                    &          14192 & 147                \\
 herr                     & 7                    &          14160 & 147                \\
 steh                     & 0                    &          14160 & 147                \\
 diensten                 & 1                    &          14224 & 148                \\
 bediene                  & 0                    &          14224 & 148                \\
 ebenso                   & 1                    &          14280 & 149                \\
 guten                    & 0                    &          14280 & 149                \\
 herrn                    & 1                    &          14336 & 150                \\
 abraham                  & 3                    &          14336 & 150                \\
 bessern                  & 1                    &          14392 & 151                \\
 simson                   & 12                   &          14392 & 151                \\
 wohl                     & 1                    &          14448 & 152                \\
 herr                     & 8                    &          14448 & 152                \\
 benvolio                 & 1                    &          14512 & 153                \\
 tritt                    & 1                    &          14512 & 153                \\
 gregorio                 & 8                    &          14480 & 153                \\
 sag                      & 1                    &          14536 & 154                \\
 bessern                  & 2                    &          14536 & 154                \\
 kommt                    & 0                    &          14536 & 154                \\
 vetter                   & 0                    &          14536 & 154                \\
 herrschaft               & 1                    &          14600 & 155                \\
 simson                   & 13                   &          14600 & 155                \\
 ja                       & 0                    &          14600 & 155                \\
 bessern                  & 2                    &          14600 & 155                \\
 herr                     & 9                    &          14632 & 155                \\
 abraham                  & 3                    &          14632 & 155                \\
 lügt                     & 0                    &          14632 & 155                \\
 simson                   & 13                   &          14632 & 155                \\
 zieht                    & 1                    &          14688 & 156                \\
 falls                    & 1                    &          14744 & 157                \\
 kerls                    & 0                    &          14744 & 157                \\
 seid                     & 0                    &          14744 & 157                \\
 frisch                   & 0                    &          14744 & 157                \\
 gregorio                 & 8                    &          14744 & 157                \\
 denk                     & 0                    &          14744 & 157                \\
 schwadronierhieb         & 0                    &          14744 & 157                \\
 fechten                  & 1                    &          14800 & 158                \\
 benvolio                 & 1                    &          14800 & 158                \\
 tritt                    & 1                    &          14800 & 158                \\
 benvolio                 & 1                    &          14800 & 158                \\
 narren                   & 1                    &          14856 & 159                \\
 fort                     & 1                    &          14912 & 160                \\
 steckt                   & 0                    &          14912 & 160                \\
 schwerter                & 0                    &          14912 & 160                \\
 wißt                     & 1                    &          14992 & 161                \\
 tut                      & 1                    &          15048 & 162                \\
 schlägt                  & 1                    &          15128 & 163                \\
 schwerter                & 1                    &          15192 & 164                \\
 nieder                   & 1                    &          15248 & 165                \\
 tybalt                   & 2                    &          15248 & 165                \\
 tritt                    & 2                    &          15248 & 165                \\
 tybalt                   & 2                    &          15248 & 165                \\
 ziehst                   & 1                    &          15304 & 166                \\
 verzagten                & 1                    &          15368 & 167                \\
